指标英文,指标中文,数值,单位
pages,pages,"[{'unit_hint': '元', 'table': [['项目', '本期发生额', '上年同期发生额', '增减金额', '增减幅度(%)'], ['营业收入', 94526736836, 81415570788.6, 13111166047.4, 16.07], ['营业成本', 14298436245.72, 12072158914.05, 2226277331.67, 18.44], ['营业利润', 53199105412.61, 45158268679.51, 8040836733.1, 17.78], ['利润总额', 59824806666.39, 51040518295.63, 8784288370.76, 17.29], ['归属于公司普通股股东的净利润', 45981114864.86, 38496399239.78, 7484715625.08, 19.38], ['扣除非经常性损益后归属于公司普通股股东的净利润', 46338871826.44, 38959587967.43, 7379283859.01, 18.89], ['基本每股收益(元/股)', 68.64, 61.41, 7.23, 11.8]]}, {'unit_hint': '元', 'table': [['项目', '期初余额', '上年同期期末余额', '本期增加数', '本期减少数', '期末余额'], ['应收账款', 38504664449.03, 34224144415.21, 6441046407.52, 5421191775.86, 40520519180.7], ['应收票据', 896304251.29, 113769023.4, 882535227.89, 0, 896304251.29]]}, {'unit_hint': '元', 'table': [['项目', '本期发生额', '上期发生额', '增减金额(%)'], ['销售费用', 12339611723.62, 10488100748.37, 1811510975.25, 17.22], ['管理费用', 1419849887.95, 1249242643.24, 170607244.71, 13.65], ['财务费用', 98973076.61, 133477261.04, -34504184.43, -25.91], ['资产减值损失', 247144689.73, 238222156.81, 8922532.92, 3.73]]}, {'unit_hint': '万元', 'table': [['项目', '期初余额', '本期发生额', '期末余额'], ['预付款项', 252283.11, 531256.52, 784039.63], ['其他应收款', 34775.59, 38347.27, 38223.61], ['其他应付款', 1311886.46, 3108131.74, 4420018.2]]}, {'unit_hint': '元', 'table': [['项目', '报告期末股东总数'], ['100,980股普通股股东', 100980], ['无优先股股东']]}, {'unit_hint': '元', 'table': [['项目', '权益法下确认的投资收益'], ['成本法核算的长期股权投资投资收益', 42023527068.33], ['权益法核算的长期股权投资投资收益']]}, {'unit_hint': '元', 'table': [['项目', '本期发生额', '上期发生额'], ['营业利润', 53199105412.61, 45158268679.51], ['利润总额', 59824806666.39, 51040518295.63], ['归属于公司普通股股东的净利润', 45981114864.86, 38496399239.78], ['基本每股收益(元/股)', 68.64, 61.41], ['稀释每股收益(元/股)', 68.64, 61.41]]}, {'unit_hint': '元', 'table': [['项目', '合并净利润', '母公司净利润'], ['合并净利润', 46463987126.37, 46463987126.37], ['母公司净利润', 46463987126.37, 46463987126.37]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日'], ['应收账款', 75.29, 73.67, 75.29, 73.67, 30.33, 29.06, 30.33, 29.06, 8.8, 10.45], ['应收票据', 2.32, 2.27, 2.32, 2.27, 0.94, 0.93, 0.94, 0.93, 0.49, 0.49], ['应收款项融资', '', '', '', '', '', '', '', '', '', ''], ['预付款项', 4.41, 4.41, 4.41, 4.41, 2.3, 2.19, 2.3, 2.19, 0.34, 0.5], ['其他应收款', 1.13, 1.08, 1.13, 1.08, 0.46, 0.45, 0.46, 0.45, 0.17, 0.16], ['其他流动资产', 2.2, 2.2, 2.2, 2.2, 0.78, 0.78, 0.78, 0.78, 0.24, 0.24], ['流动资产合计', 123.34, 122.94, 123.34, 122.94, 54.73, 54.61, 54.73, 54.61, 14.27, 16.45]]}, {'unit_hint': '元', 'table': [['项目', '期初数', '本期增加', '本期减少', '期末数'], ['其中：年初已计提并冲减资产成本的坏账准备', 31, 344, 400, 0.0, 0.0, 31, 344, 400, 0.0, 13, 942, 856, 349, 981.44, 13, 974, 200, 749, 981.44, 13, 942, 856, 349, 981.44, 13, 974, 200, 749, 981.44], ['其他应付款', 5, 447, 885, 647.87, 137, 452, 661.27, 50, 455, 232.25, 5, 634, 883, 0, 11, 418, 276, 131.22, 5, 634, 883, 0, 11, 418, 276, 131.22, 5, 447, 885, 647.87]]}, {'unit_hint': '元', 'table': [['项目', '合 计', '上年期末余额', '变动情况', '变动原因'], ['其他应付款', 54663, 522, 231.04, 58070756105.42, -36407233884.38, 1.1596, 4.3693, -0.2144, 1.2471]]}, {'unit_hint': '元', 'table': [['项目', '期初数', '本期增加', '本期减少', '期末数'], ['其中：年初已计提并冲减资产成本的坏账准备', 13, 942, 856, 349, 981.44, 0.0, 31, 344, 400, 0.0, 13, 942, 856, 349, 981.44], ['未逾期、未减值的融资租赁应收款', 20, 266, 701, 555.31, 49, 893, 854.22, 0.0, 20, 316, 595, 409.53], ['期末已计提减值准备的融资租赁应收款', 0.0, 0.0, 0.0, 0.0]]}, {'unit_hint': '元', 'table': [['项目', '归属于母公司股东的净资产', '少数股东权益', '股东权益合计'], ['54,147,110,282.55', 3, 524, 622, 541.03, 57, 671, 732, 823.58]]}, {'unit_hint': '元', 'table': [['项目', '本期发生额', '上年发生额', '变动比例'], ['营业收入', 94, 526, 736, 836.41, 81, 415, 570, 788.59, 16.07], ['营业成本', 14, 298, 436, 245.72, 12, 0, 18.44], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 8679.51, 17.78], ['利润总额', 5, 982, 480, 6666.39, 5, 104, 0, 17.29]]}, {'unit_hint': '元', 'table': [['项目', '2024年3月31日', '2023年12月31日', '变动金额', '变动比例(%)'], ['营业成本', 14, 298, 436, 245.72, 12, 0, 2298436245.72, 18.44]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '期初数(元)', '期末数(元)', '增减(%)', '增减变动原因'], ['应收票据', 113, 769, 0, 89, 630, 425.19, 113, 769, 0, 89, 630, 425.19, -21.11, ', ']]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '期初数', '期末数', '增减(%)', '增减变动原因'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9, 3, 422, 414, 441.52, 3, 850, 466, 444.9, 12.56, '']]}, {'unit_hint': '元', 'table': [['项目', '营业成本', '营业总收入', '营业利润', '利润总额', '归属于母公司股东的净利润', '扣除非经常性损益后归属于母公司股东的净利润', '基本每股收益', '稀释每股收益'], ['14,298,436,245.72', 94, 526, 736, 836.41, 5, 319, 910, 5412.61, 5, 982, 480, 6666.39, 4, 598, 111, 4864.86, 4, 633, 887, 1826.44, 68.64, 68.64]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '本年度增加', '本年度减少', '2024年3月31日', '变动率(%)'], ['应收账款', 3, 422, 414, 441.52, 628, 0, 542, 119, 177.58, 3, 850, 466, 444.9, 13.31], ['应收票据', 11, 376, 902.34, 8, 825, 352, 278.9, 0, 8, 963, 0, 150.41], ['其他应收款', 34, 775.59, 38, 347.27, 0, 38, 223.61, 1.06], ['其他流动资产', 123, 250, 0, 50, 0, 13, 0, 123, 300, 0, 4.02]]}, {'unit_hint': '元', 'table': [['项目', '合 计', '2024年3月31日数', '2023年12月31日数'], ['其他应付款', 55, 603, 636, 477.17, 55, 603, 636, 477.17, 55, 603, 636, 477.17, 55, 603, 636, 477.17]]}, {'unit_hint': '元', 'table': [['项目', '2024年1-3月', '2023年度', '变动比例', '增减额'], ['营业收入', 94, 526, 736, 836.41, 81, 415, 570, 788.59, 16.07, 13, 111, 116, 0.47], ['营业成本', 14, 298, 436, 245.72, 12, 0, 18.44, 2, 298, 436, 245.72], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 8679.51, 17.78, 8040], ['营业利润', 4, 646, 398, 7126.37, 3, 975, 0, 17.11, 671, 398, 7126.38], ['营业利润', 5, 982, 480, 6666.39, 5, 104, 0, 17.29, 8784288370.76], ['利润总额', 5, 982, 480, 6132.38, 5, 104, 0, 17.29, 8784288370.76], ['归属于母公司股东的净利润', 45981114864.86, 38496399239.78, 19.38, 7484715625.08], ['扣除非经常性损益后归属于母公司股东的净利润', 46338871826.44, 38959587967.43, 18.89, 7379283859.01]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '占总资产比例', '2024年3月31日', '占总资产比例'], ['货币资金', 124, 819, 125, 461.14, 22.96, 137, 0, 25.25], ['应收账款', 34, 224, 144, 415.21, 6.35, 38, 504, 664, 449.03, 7.05], ['应收票据', 113, 769, 0.93, 0.208, 89, 630, 425.19, 0.162]]}, {'unit_hint': '元', 'table': [['项目', '2024年1-3月', '2023年度', '2023年12月31日', '2024年3月31日', '增减变动额', '增减变动比例(%)'], ['营业成本', 14, 298, 436, 245.72, 12, 0, 14, 298, 436, 245.72, 14, 298, 436, 245.72, 18.44, 18.44], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 8679.51, 4, 515, 826, 8679.51, 4, 515, 826, 8679.51, 17.78, 17.78], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 8679.51, 4, 515, 826, 8679.51, 4, 515, 826, 8679.51, 17.78, 17.78]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9], ['应收票据', 113, 769, 0.93, 89, 630, 425.19]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动', '变动比例(%)'], ['其他应付款', 55, 603, 636, 477.17, 55, 603, 636, 477.17, 0.0, 0.0]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9], ['应收票据', 113, 769, 0.93, 89, 630, 425.19], ['其中：账龄分析', 113, 769, 0.93, 89, 630, 425.19]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动数', '增减(%)'], ['其他应收款', 34, 775.59, 38, 223.61, 3, 448.02, 9.91], ['其他流动资产', 123, 250, 0, 123, 300, 0, 500, 0.4]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['应收账款', 75.29, 73.67], ['应收票据', 2.32, 2.27], ['应收款项融资'], ['预付款项', 4.41, 4.41], ['其他应收款', 1.13, 1.08]]}, {'unit_hint': '元', 'table': [['项目', '2024年3月31日', '2023年12月31日', '期初数(元)', '期末数(元)', '增减变动', '增减变动(%)'], ['应收账款', 3, 850, 0, 3, 422, 414, 44, 428, 84, 12.56, 1e-07, 6.11], ['应收票据', 89, 630, 0, 113, 769, 0, -24, 139, 0, -20.12, 89, 630, 0, 150.41]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动金额', '变动比例(%)'], ['其他应收款', 123, 250, 0, 123, 300, 0, 500, 0.4]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['应收账款', 7, 528, 906, 263.89, 7, 355, 530, 678.08]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动(元)', '变动比例(%)'], ['其他应收款', 34, 775.59, 38, 223.61, 3, 448.02, 9.91]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9], ['应收票据', 113, 769, 0.93, 89, 630, 425.19]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['其他流动资产', 123, 250, 0, 123, 300, 0]]}, {'unit_hint': '元', 'table': [['项目', '2024年1-3月', '2023年度', '2023年12月31日', '2024年3月31日', '变动', '增减比例'], ['营业成本', 14, 298, 436, 245.72, 12, 0, 14, 298, 436, 245.72, 14, 298, 436, 245.72, 18.44, 18.44], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 8679.51, 4, 515, 826, 8679.51, 4, 515, 826, 8679.51, 17.78, 17.78]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['其他应付款', 55, 603, 636, 477.17, 55, 603, 636, 477.17], ['应付票据', 26, 959, 177, 87.95, 26, 959, 177, 87.95], ['应付账款', 35, 310, 434, 225.75, 33, 988, 0, 9, 218, 294, 195.8, 1, 200, 8, 33, 988, 0]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动额', '变动比例(%)'], ['其他应收款', 34, 775.59, 38, 223.61, 3, 448.02, 9.91], ['其他流动资产', 123, 250, 0, 123, 300, 0, 500, 0.4]]}, {'unit_hint': '元', 'table': [['2024年3月31日', '比2023年末总资产12,686,232万元增长351,667万元，增长2.76%。', '2024年3月31日', '2023年12月31日'], ['其他流动资产', 123, 300, 0, 123, 250, 0], ['应收账款', 3, 850, 0, 3, 422, 414, 44]]}, {'unit_hint': '元', 'table': [['期初余额', '2023年12月31日', '2024年3月31日', '变动金额', '2023年', '2023年12月31日', '2024年3月31日', '变动金额', '2023年', '2023年12月31日', '2024年3月31日', '变动金额', '2023年', '2023年12月31日', '2024年3月31日', '变动金额', '2023年'], ['流动资产合计', 54, 715, 388, 976.43, 54, 771, 446, 278.96, 56, 297, 737.53, 55, 603, 636, 477.17, 57, 671, 732, 823.58, 2, 0, 11, 5, 20, 272, 343, 0, 21, 743, 244, 0, 7, 591, 0, 24, 568, 0, 3, 0], ['非流动资产合计', 18, 485, 999, 590, 249.39, 25, 215, 134, 570, 820.49, 6, 729, 134, 971, 571.1, 18, 485, 999, 590, 249.39, 25, 215, 134, 570, 820.49, 6, 729, 134, 971, 571.1, 18, 485, 999, 590, 249.39, 25, 215, 134, 570, 820.49, 6, 729, 134, 971, 571.1]]}, {'unit_hint': '元', 'table': [['项目', '2024年3月31日', '2023年12月31日', '2023年年度数据', '2024年1-3月数据'], ['营业成本', 14, 298, 436, 245.72, 12, 0, 2298436245.72, 18.44], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 8679.51, 8040836733.1, 17.78], ['利润总额', 5, 982, 480, 6666.39, 5, 104, 0, 8784288370.76, 17.29]]}, {'unit_hint': '元', 'table': [['2024年3月31日财务数据', '2024年3月31日', '2023年12月31日', '与2023年12月31日相比变化金额', '与2023年12月31日相比变化金额(%）'], ['营业成本', 14, 298, 436, 245.72, 12, 0, 2298436245.72, 18.44], ['营业利润', 5, 319, 910, 5412.61, 4, 515, 826, 867, 8040836733.15, 17.78]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '期初数', '期末数'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 46, 428, 851, 816.87], ['应收票据', 113, 769, 0.93, 89, 630, 425.19, 24, 139, 0.93]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9], ['应收票据', 113, 769, 0.93, 89, 630, 425.19], ['其中：账龄分析', 113, 769, 0.93, 89, 630, 425.19]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动', '变动比例(%)'], ['其他应收款', 34, 775.59, 38, 223.61, 3, 448.02, 9.91], ['其他流动资产', 123, 250, 0, 123, 300, 0, 500, 0.4]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动(%)'], ['其他应收款', 123, 250, 0, 123, 300, 0, 500, 0.4], ['营业成本', 14, 298, 436, 245.72, 14, 298, 436, 245.72, 0.0]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '本期发生额', '2024年3月31日', '2023年12月31日', '期末余额'], ['应收账款', 3, 422, 414, 441.52, 428, 841, 816.87, 3, 850, 466, 444.9, 3, 422, 414, 441.52, 3, 850, 466, 444.9]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动(%)'], ['其他应收款', 123, 250, 0, 123, 300, 0, 500, 0.4], ['应收票据', 113, 769, 0, 89, 630, 425.19, -24, 139, 0, -20.12], ['其中：账龄分析', 113, 769, 0, 89, 630, 425.19, -24, 139, 0, -20.12]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9, 7, 528, 906, 263.89, 7, 355, 530, 678.08], ['应收票据', 113, 769, 0.93, 89, 630, 425.19, 272, 508, 919, 75, 247, 367, 251, 86]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 3, 850, 466, 444.9, 7, 528, 906, 263.89, 7, 355, 530, 678.08], ['应收票据', 113, 769, 0.93, 89, 630, 425.19, 272, 508, 919, 75, 247, 367, 251, 86]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '2023年12月31日', '2024年3月31日', '与2023年12月31日相比增加金额(元)', '与2023年12月31日相比增加金额(%)'], ['在建工程', 14, 743, 327, 523.03, 14, 734, 571, 346.03, 14, 743, 327, 523.03, 14, 734, 571, 346.03, -9, 690, 0, -0.0652757]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动', '变动比例(%)'], ['应收账款', 7, 528, 906, 263.89, 7, 355, 530, 678.08, -173, 375, 585.81, -2.3], ['应收票据', 272, 508, 919, 75, 247, 367, 251, 86, -25, 141, 667, 89, -9.2]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '与2023年12月31日相比变化金额', '与2023年12月31日相比变化金额(%)'], ['营业成本', 14, 298, 4, 14, 298, 436, 245.72, 18, 44, 18.44], ['营业利润', 5, 319, 910, 54, 5, 319, 910, 5412.61, 4, 515, 8, 17.78], ['营业总收入', 94, 526, 736, 836.41, 94, 526, 736, 836.41, 81, 415, 570, 788.59, 16.07], ['营业利润', 5, 319, 910, 5412.61, 5, 319, 910, 5412.61, 4, 515, 8, 17.78]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '本年度发生额', '2024年3月31日'], ['应收账款', 3, 422, 414, 441.52, 428, 851, 816.87, 3, 850, 466, 444.9], ['应收票据', 113, 769, 0.93, 89, 630, 425.19, 24, 139, 0.93]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '变动额', '变动比例(%)'], ['营业成本', 142, 984, 362, 457.2, 14, 298, 436, 245.72, 18, 44, 18.44]]}, {'unit_hint': '元', 'table': [['项目', '期末现金及现金等价物余额', '其中：库存现金', '其中：可随时用于支付的银行存款', '其他类现金等价物'], ['61,125,514,482.28', 225, 0, 3, 155, 154, 160.65, 27, 803, 455, 0, 28, 57, 29, 430, 0]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '与2023年12月31日相比变化金额(元)', '期初数', '期末数'], ['营业收入', 8, 141, 557, 0, 94, 526, 73, 13, 111, 1, 94, 526, 73, 16.07], ['营业成本', 12, 0, 14, 298, 4, 2298436245.72, 14, 298, 436, 245.72, 18.44], ['营业利润', 4, 515, 826, 86, 5, 319, 910, 54, 8040836733.1, 5, 319, 910, 5412.61, 17.78]]}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日', '2020年初', '2023年12月31日', '2024年3月31日'], ['流动资产合计', 54, 715, 388, 976.43, 54, 771, 446, 278.96, 54, 715, 38, 54, 771, 446, 2]], 'page': 15}, {'unit_hint': '元', 'table': [['项目', '2023年12月31日', '2024年3月31日'], ['现金及现金等价物净增加额', 27, 419, 222, 0.12, 60, 425, 791, 799.62], ['货币资金', 8, 718, 180, 535.21, 21, 743, 244, 0.66], ['购买商品、接受劳务支付的现金', 4, 47388679, 7.21, 3, 95388679, 7.21]]}]",
page,page,16,亿元
period,报告期间,未知期间,
scope,口径,unknown,
unit_standard,单位,亿元,
revenue,营业收入,170611.84,亿元
net_income,归母净利润,86228.15,亿元
operating_cashflow,经营现金流,92463.69,亿元
cfo_to_ni_ratio,CFO/净利润(%),107.23144355990475,%
dividend,分红,346.71,亿元
