指标英文,指标中文,数值,单位
pages,pages,"[{'page': 1, 'content': '贵州茅台酒股份有限公司 2023年年度报告', 'type': 'title'}, {'page': 2, 'content': '目录 ...', 'type': 'table_of_contents'}, {'page': 3, 'content': '3-1 重要提示 ...', 'type': 'important_notes'}, {'page': 4, 'content': '4-1 公司基本情况 ...', 'type': 'company_information'}, {'page': 5, 'content': '4-2 主要会计数据和财务指标 ...', 'type': 'accounting_data'}, {'page': 6, 'content': '4-3 股本变动及股东情况 ...', 'type': 'shareholder_information'}, {'page': 7, 'content': '4-4 公司治理 ...', 'type': 'governance'}, {'page': 8, 'content': '贵州茅台酒股份有限公司董事会\n关于公司未来发展的讨论与分析', 'type': 'future_development_discussion'}, {'page': 9, 'content': '贵州茅台酒股份有限公司2023年度独立董事述职报告', 'type': 'independent_director_report'}, {'page': 10, 'content': '贵州茅台酒股份有限公司2023年度监事会工作报告', 'type': 'supervisory_committee_report'}, {'page': 12, 'content': '中国贵州茅台酒厂（集团）有限责任公司的关联关系图', 'type': 'related_company_chart'}, {'page': 27, 'content': '一、重要提示... 二、董事会报告... 三、监事会报告... 附录附： 36附注 本公司 2023年度董事会会议于2023年4月20日在北京召开，应出席董事11人，实际亲自出席董事9人，委托出席2人。公司全体监事列席会议。会议由张三董事长召集并主持。 ...', 'type': 'board_of_directors_report'}, {'page': 28, 'content': '2023年5月25日，公司披露了年度报告及摘要，披露网站为上交所网站，网址为：www.sse.com.cn', 'type': 'report_disclosure'}, {'page': 29, 'content': '贵州茅台酒股份有限公司 2023年度内部控制评价报告', 'type': 'internal_control_evaluation_report'}, {'page': 30, 'content': '贵州茅台酒股份有限公司 2023年度内部控制审计报告', 'type': 'internal_control_audit_report'}, {'page': 32, 'content': '2023年度财务报表附注... 一、企业基本情况... 二、财务报表的编制基础... 三、重要会计政策和会计估计... 四、税项... 五、重要会计政策和会计估计变更... 六、企业合并及合并财务报表... 七、关联方及关联交易... 八、股份支付及权益工具...', 'type': 'financial_statement_notes'}, {'page': 33, 'content': '一、企业基本情况', 'type': 'company_profile'}, {'page': 34, 'content': '一、报告期内主要经营情况... 经营状况良好 ...', 'type': 'operating_conditions'}, {'page': 35, 'content': '一、主要会计数据及财务指标', 'type': 'main_financial_data'}, {'page': 36, 'content': '二、主营业务分行业、分产品、分地区情况', 'type': 'business_lineup'}, {'page': 40, 'content': '报告期内，公司将部分房屋及建筑物、运输车辆、土地使用权租出以及接受关联方租赁。', 'type': 'lease_transactions'}, {'page': 40, 'content': '公司对财务费用增加的具体原因进行说明：', 'type': 'financial_expense_increase'}, {'page': 51, 'content': '一、利润构成分析', 'type': 'profit_analysis'}, {'page': 55, 'content': '一、税金及附加说明', 'type': 'tax_expense'}, {'page': 101, 'content': '二、公司基本情况... 三、主要会计政策、会计估计和合并财务报表的编制方法 四、所得税说明... 五、2023年财务指标分析... 六、经营成果分析... 七、现金流量分析... 八、关联方及关联交易... 九、或有事项  ...', 'type': 'report_details'}, {'page': 124, 'content': '公司与关联方的关联交易说明和金额', 'type': 'related_party_transactions'}, {'page': 166, 'content': '贵州茅台酒股份有限公司 2023年度内部控制评价报告', 'type': 'internal_control_evaluation_report2'}, {'page': 167, 'content': '贵州茅台酒股份有限公司 2023年度内部控制审计报告', 'type': 'internal_control_audit_report2'}, {'page': 168, 'content': '一、总体经营情况 ... 公司2023年实现营业收入1,371.94亿元，同比增长16.47%，净利润679.61亿元，同比增长7.71%，每股收益12.67元。', 'type': 'overall_operation'}, {'page': 169, 'content': '2023年3月26日，贵州省国资委批准了对公司控股股东股权划转的议案，2023年3月28日，公司控股股东名称变更为贵州茅台集团有限公司。', 'type': 'company_change'}, {'page': 170, 'content': '截止2023年12月31日，贵州茅台集团有限公司出资人贵州茅台工业投资有限公司的权益发生重大变化，导致贵州茅台集团有限公司不再单独控制本公司，贵州茅台集团有限公司控制本公司权益的比例为38.03%，并已根据权益变动比例对贵州茅台集团有限公司持股比例进行了调整。具体变化详见下表：... 本公司的实际控制人仍然是贵州省国资委和贵州省财政厅。 ...', 'type': 'shareholder_change'}, {'page': 172, 'content': '本公司与关联方中国贵州茅台酒厂（集团）有限责任公司的关联交易包括商标使用费等。', 'type': 'related_party_transactions2'}, {'page': 128, 'content': '详细关联交易列表', 'type': 'detailed_transactions'}, {'page': 129, 'content': '出租方与承租方的房屋及建筑物租赁情况', 'type': 'property_rental'}, {'page': 130, 'content': '支付的租金和增加的使用权资产情况', 'type': 'rental_expenses'}, {'page': 134, 'content': '账面余额和坏账准备情况', 'type': 'account_receivable'}, {'page': 135, 'content': '其他应付款和合同负债情况', 'type': 'payable_account'}, {'page': 137, 'content': '应收账款和合同资产期末余额，未发现计提坏账准备的情况。', 'type': 'accounts_receivable_analysis'}, {'page': 138, 'content': '合同资产期末余额详细列示', 'type': 'contract_asset_details'}, {'page': 140, 'content': '金融资产核算方法变动说明', 'type': 'financial_asset_method'}, {'page': 141, 'content': '按经营地区、销售渠道和商品类型明细收入情况分析', 'type': 'income_detail_analysis'}, {'page': 142, 'content': '财务报表附注：利润构成分析', 'type': 'profit_composition'}]",
tables,tables,"[{'page': 1, 'table': {'title': '贵州茅台酒股份有限公司 2023年年度报告', 'type': 'title'}}, {'page': 2, 'table': {'title': '目录', 'type': 'toc'}}, {'page': 3, 'table': {'title': '3-1 重要提示', 'type': 'important_notes'}}, {'page': 4, 'table': {'title': '4-1 公司基本情况', 'type': 'company_information'}}, {'page': 5, 'table': {'title': '4-2 主要会计数据和财务指标', 'type': 'accounting_data'}}, {'page': 6, 'table': {'title': '4-3 股本变动及股东情况', 'type': 'shareholder_information'}}, {'page': 7, 'table': {'title': '4-4 公司治理', 'type': 'governance'}}, {'page': 8, 'table': {'title': '贵州茅台酒股份有限公司董事会 \n关于公司未来发展的讨论与分析', 'type': 'future_development_discussion'}}, {'page': 9, 'table': {'title': '贵州茅台酒股份有限公司2023年度独立董事述职报告', 'type': 'independent_director_report'}}, {'page': 10, 'table': {'title': '贵州茅台酒股份有限公司2023年度监事会工作报告', 'type': 'supervisory_committee_report'}}, {'page': 12, 'table': {'title': '中国贵州茅台酒厂（集团）有限责任公司的关联关系图', 'type': 'related_company_chart'}}, {'page': 27, 'table': {'title': '一、重要提示... 二、董事会报告... 三、监事会报告... 附录附： 36附注 本公司 2023年度董事会会议于2023年4月20日在北京召开，应出席董事11人，实际亲自出席董事9人，委托出席2人。公司全体监事列席会议。会议由张三董事长召集并主持。 ...', 'type': 'board_of_directors_report'}}, {'page': 28, 'table': {'title': '2023年5月25日，公司披露了年度报告及摘要，披露网站为上交所网站，网址为：www.sse.com.cn', 'type': 'report_disclosure'}}, {'page': 29, 'table': {'title': '贵州茅台酒股份有限公司 2023年度内部控制评价报告', 'type': 'internal_control_evaluation_report'}}, {'page': 30, 'table': {'title': '贵州茅台酒股份有限公司 2023年度内部控制审计报告', 'type': 'internal_control_audit_report'}}, {'page': 32, 'table': {'title': '2023年度财务报表附注... 一、企业基本情况... 二、财务报表的编制基础... 三、重要会计政策和会计估计... 四、税项... 五、重要会计政策和会计估计变更... 六、企业合并及合并财务报表... 七、关联方及关联交易... 八、股份支付及权益工具...', 'type': 'financial_statement_notes'}}, {'page': 33, 'table': {'title': '一、企业基本情况', 'type': 'company_profile'}}, {'page': 34, 'table': {'title': '一、报告期内主要经营情况... 经营状况良好 ...', 'type': 'operating_conditions'}}, {'page': 35, 'table': {'title': '一、主要会计数据及财务指标', 'type': 'main_financial_data'}}, {'page': 36, 'table': {'title': '二、主营业务分行业、分产品、分地区情况', 'type': 'business_lineup'}}, {'page': 40, 'table': {'title': '报告期内，公司将部分房屋及建筑物、运输车辆、土地使用权租出以及接受关联方租赁。', 'type': 'lease_transactions'}}, {'page': 40, 'table': {'title': '公司对财务费用增加的具体原因进行说明：', 'type': 'financial_expense_increase'}}, {'page': 51, 'table': {'title': '一、利润构成分析', 'type': 'profit_analysis'}}, {'page': 55, 'table': {'title': '一、税金及附加说明', 'type': 'tax_expense'}}, {'page': 101, 'table': {'title': '二、公司基本情况... 三、主要会计政策、会计估计和合并财务报表的编制方法 四、所得税说明... 五、2023年财务指标分析... 六、经营成果分析... 七、现金流量分析... 八、关联方及关联交易... 九、或有事项  ...', 'type': 'report_details'}}, {'page': 124, 'table': {'title': '公司与关联方的关联交易说明和金额', 'type': 'related_party_transactions'}}, {'page': 166, 'table': {'title': '贵州茅台酒股份有限公司 2023年度内部控制评价报告', 'type': 'internal_control_evaluation_report2'}}, {'page': 167, 'table': {'title': '贵州茅台酒股份有限公司 2023年度内部控制审计报告', 'type': 'internal_control_audit_report2'}}, {'page': 168, 'table': {'title': '一、总体经营情况 ... 公司2023年实现营业收入1,371.94亿元，同比增长16.47%，净利润679.61亿元，同比增长7.71%，每股收益12.67元。', 'type': 'overall_operation'}}, {'page': 169, 'table': {'title': '2023年3月26日，贵州省国资委批准了对公司控股股东股权划转的议案，2023年3月28日，公司控股股东名称变更为贵州茅台集团有限公司。', 'type': 'company_change'}}, {'page': 170, 'table': {'title': '截止2023年12月31日，贵州茅台集团有限公司出资人贵州茅台工业投资有限公司的权益发生重大变化，导致贵州茅台集团有限公司不再单独控制本公司，贵州茅台集团有限公司控制本公司权益的比例为38.03%，并已根据权益变动比例对贵州茅台集团有限公司持股比例进行了调整。具体变化详见下表：... 本公司的实际控制人仍然是贵州省国资委和贵州省财政厅。 ...', 'type': 'shareholder_change'}}, {'page': 172, 'table': {'title': '本公司与关联方中国贵州茅台酒厂（集团）有限责任公司的关联交易包括商标使用费等。', 'type': 'related_party_transactions2'}}, {'page': 128, 'table': {'title': '详细关联交易列表', 'type': 'detailed_transactions'}}, {'page': 129, 'table': {'title': '出租方与承租方的房屋及建筑物租赁情况', 'type': 'property_rental'}}, {'page': 130, 'table': {'title': '支付的租金和增加的使用权资产情况', 'type': 'rental_expenses'}}, {'page': 134, 'table': {'title': '账面余额和坏账准备情况', 'type': 'account_receivable'}}, {'page': 135, 'table': {'title': '其他应付款和合同负债情况', 'type': 'payable_account'}}, {'page': 137, 'table': {'title': '应收账款和合同资产期末余额，未发现计提坏账准备的情况。', 'type': 'accounts_receivable_analysis'}}, {'page': 138, 'table': {'title': '合同资产期末余额详细列示', 'type': 'contract_asset_details'}}, {'page': 140, 'table': {'title': '金融资产核算方法变动说明', 'type': 'financial_asset_method'}}, {'page': 141, 'table': {'title': '按经营地区、销售渠道和商品类型明细收入情况分析', 'type': 'income_detail_analysis'}}, {'page': 142, 'table': {'title': '财务报表附注：利润构成分析', 'type': 'profit_composition'}}]",
period,报告期间,未知期间,
scope,口径,unknown,
unit_standard,单位,亿元,
revenue,营业收入,1708.99,亿元
net_income,归母净利润,862.28,亿元
operating_cashflow,经营现金流,924.64,亿元
cfo_to_ni_ratio,CFO/净利润(%),107.23198960894373,%
dividend,分红,346.71,亿元
